region,category,parameter,mode,powertrain,year,unit,value
China,Projection-STEPS,Oil displacement Mbd,Cars,EV,2025,Milion barrels per day,0.5
China,Projection-STEPS,"Oil displacement, million lge",Cars,EV,2025,"Oil displacement, million lge",30000
China,Projection-STEPS,Oil displacement Mbd,Cars,EV,2030,Milion barrels per day,1.2000000476837158
China,Projection-STEPS,"Oil displacement, million lge",Cars,EV,2030,"Oil displacement, million lge",73000
China,Projection-STEPS,EV sales,Cars,BEV,2030,Vehicles,13000000
China,Projection-STEPS,EV sales,Cars,PHEV,2030,Vehicles,1600000
China,Projection-STEPS,EV stock,Cars,BEV,2030,Vehicles,86000000
China,Projection-STEPS,EV stock,Cars,PHEV,2030,Vehicles,17000000
China,Projection-STEPS,EV stock share,Cars,EV,2030,percent,25
China,Projection-STEPS,Electricity demand,Cars,EV,2030,GWh,180000
China,Projection-STEPS,EV sales share,Cars,EV,2030,percent,62
Europe,Projection-STEPS,Electricity demand,Cars,EV,2020,GWh,3900
Europe,Projection-STEPS,EV sales,Cars,BEV,2020,Vehicles,750000
Europe,Projection-STEPS,EV stock share,Cars,EV,2020,percent,0.9800000190734863
Europe,Projection-STEPS,EV sales share,Cars,EV,2020,percent,10
Europe,Projection-STEPS,EV stock,Cars,BEV,2020,Vehicles,1800000
Europe,Projection-STEPS,EV sales,Cars,PHEV,2020,Vehicles,630000
Europe,Projection-STEPS,EV stock,Cars,PHEV,2020,Vehicles,1400000
Europe,Projection-STEPS,Oil displacement Mbd,Cars,EV,2020,Milion barrels per day,0.03099999949336052
Europe,Projection-STEPS,"Oil displacement, million lge",Cars,EV,2020,"Oil displacement, million lge",1800
Europe,Projection-STEPS,Oil displacement Mbd,Cars,EV,2021,Milion barrels per day,0.07199999690055847
Europe,Projection-STEPS,"Oil displacement, million lge",Cars,EV,2021,"Oil displacement, million lge",4200
Europe,Projection-STEPS,EV stock,Cars,PHEV,2021,Vehicles,2500000
Europe,Projection-STEPS,EV sales,Cars,PHEV,2021,Vehicles,1100000
Europe,Projection-STEPS,EV stock,Cars,BEV,2021,Vehicles,3000000
Europe,Projection-STEPS,EV sales share,Cars,EV,2021,percent,18
Europe,Projection-STEPS,EV stock share,Cars,EV,2021,percent,1.7000000476837158
Europe,Projection-STEPS,EV sales,Cars,BEV,2021,Vehicles,1200000
Europe,Projection-STEPS,Electricity demand,Cars,EV,2021,GWh,4000
Europe,Projection-STEPS,Electricity demand,Cars,EV,2022,GWh,19000
Europe,Projection-STEPS,EV sales,Cars,BEV,2022,Vehicles,1600000
Europe,Projection-STEPS,EV stock share,Cars,EV,2022,percent,2.4000000953674316
Europe,Projection-STEPS,EV sales share,Cars,EV,2022,percent,21
Europe,Projection-STEPS,EV stock,Cars,BEV,2022,Vehicles,4400000
Europe,Projection-STEPS,EV sales,Cars,PHEV,2022,Vehicles,1000000
Europe,Projection-STEPS,EV stock,Cars,PHEV,2022,Vehicles,3400000
Europe,Projection-STEPS,Oil displacement Mbd,Cars,EV,2022,Milion barrels per day,0.10000000149011612
Europe,Projection-STEPS,"Oil displacement, million lge",Cars,EV,2022,"Oil displacement, million lge",6100
Europe,Projection-STEPS,Oil displacement Mbd,Cars,EV,2025,Milion barrels per day,0.25999999046325684
Europe,Projection-STEPS,"Oil displacement, million lge",Cars,EV,2025,"Oil displacement, million lge",15000
Europe,Projection-STEPS,EV sales,Cars,BEV,2025,Vehicles,3300000
Europe,Projection-STEPS,EV sales,Cars,PHEV,2025,Vehicles,1900000
Europe,Projection-STEPS,EV stock,Cars,BEV,2025,Vehicles,13000000
Europe,Projection-STEPS,EV stock,Cars,PHEV,2025,Vehicles,8300000
Europe,Projection-STEPS,EV sales share,Cars,EV,2025,percent,32
Europe,Projection-STEPS,EV stock share,Cars,EV,2025,percent,7
Europe,Projection-STEPS,Electricity demand,Cars,EV,2025,GWh,54000
Europe,Projection-STEPS,Electricity demand,Cars,EV,2030,GWh,130000
Europe,Projection-STEPS,EV stock share,Cars,EV,2030,percent,18
Europe,Projection-STEPS,EV sales share,Cars,EV,2030,percent,58
Europe,Projection-STEPS,EV sales,Cars,BEV,2030,Vehicles,7000000
Europe,Projection-STEPS,EV sales,Cars,PHEV,2030,Vehicles,2600000
Europe,Projection-STEPS,EV stock,Cars,BEV,2030,Vehicles,37000000
Europe,Projection-STEPS,EV stock,Cars,PHEV,2030,Vehicles,19000000
Europe,Projection-STEPS,Oil displacement Mbd,Cars,EV,2030,Milion barrels per day,0.6200000047683716
Europe,Projection-STEPS,"Oil displacement, million lge",Cars,EV,2030,"Oil displacement, million lge",36000
India,Projection-STEPS,Oil displacement Mbd,Cars,EV,2020,Milion barrels per day,0.00013000000035390258
India,Projection-STEPS,"Oil displacement, million lge",Cars,EV,2020,"Oil displacement, million lge",7.699999809265137
India,Projection-STEPS,EV sales share,Cars,EV,2020,percent,0.12999999523162842
India,Projection-STEPS,EV stock share,Cars,EV,2020,percent,0.029999999329447746
India,Projection-STEPS,EV sales,Cars,BEV,2020,Vehicles,3100
India,Projection-STEPS,EV stock,Cars,BEV,2020,Vehicles,12000
India,Projection-STEPS,EV sales,Cars,PHEV,2020,Vehicles,43
India,Projection-STEPS,EV stock,Cars,PHEV,2020,Vehicles,50
India,Projection-STEPS,Electricity demand,Cars,EV,2020,GWh,0.050999999046325684
India,Projection-STEPS,Electricity demand,Cars,EV,2021,GWh,0.11999999731779099
India,Projection-STEPS,EV stock,Cars,PHEV,2021,Vehicles,100
India,Projection-STEPS,EV sales,Cars,PHEV,2021,Vehicles,50
India,Projection-STEPS,EV stock,Cars,BEV,2021,Vehicles,23000
India,Projection-STEPS,EV sales,Cars,BEV,2021,Vehicles,12000
India,Projection-STEPS,EV stock share,Cars,EV,2021,percent,0.05900000035762787
India,Projection-STEPS,EV sales share,Cars,EV,2021,percent,0.4000000059604645
India,Projection-STEPS,Oil displacement Mbd,Cars,EV,2021,Milion barrels per day,0.00031999999191612005
India,Projection-STEPS,"Oil displacement, million lge",Cars,EV,2021,"Oil displacement, million lge",18
India,Projection-STEPS,Oil displacement Mbd,Cars,EV,2022,Milion barrels per day,0.0010000000474974513
India,Projection-STEPS,EV sales share,Cars,EV,2022,percent,1.5
India,Projection-STEPS,EV stock share,Cars,EV,2022,percent,0.1599999964237213
India,Projection-STEPS,"Oil displacement, million lge",Cars,EV,2022,"Oil displacement, million lge",57
India,Projection-STEPS,EV sales,Cars,BEV,2022,Vehicles,48000
India,Projection-STEPS,EV stock,Cars,BEV,2022,Vehicles,72000
India,Projection-STEPS,EV sales,Cars,PHEV,2022,Vehicles,23
India,Projection-STEPS,EV stock,Cars,PHEV,2022,Vehicles,120
India,Projection-STEPS,Electricity demand,Cars,EV,2022,GWh,210
India,Projection-STEPS,Electricity demand,Cars,EV,2025,GWh,1600
India,Projection-STEPS,Oil displacement Mbd,Cars,EV,2025,Milion barrels per day,0.007300000172108412
India,Projection-STEPS,"Oil displacement, million lge",Cars,EV,2025,"Oil displacement, million lge",420
India,Projection-STEPS,EV sales,Cars,BEV,2025,Vehicles,260000
India,Projection-STEPS,EV sales,Cars,PHEV,2025,Vehicles,5200
India,Projection-STEPS,EV stock,Cars,BEV,2025,Vehicles,560000
India,Projection-STEPS,EV stock,Cars,PHEV,2025,Vehicles,15000
India,Projection-STEPS,EV stock share,Cars,EV,2025,percent,1
India,Projection-STEPS,EV sales share,Cars,EV,2025,percent,7
India,Projection-STEPS,EV sales share,Cars,EV,2030,percent,15
India,Projection-STEPS,EV stock share,Cars,EV,2030,percent,5
India,Projection-STEPS,EV sales,Cars,BEV,2030,Vehicles,910000
India,Projection-STEPS,EV sales,Cars,PHEV,2030,Vehicles,10000
India,Projection-STEPS,EV stock,Cars,BEV,2030,Vehicles,3500000
India,Projection-STEPS,EV stock,Cars,PHEV,2030,Vehicles,55000
India,Projection-STEPS,Oil displacement Mbd,Cars,EV,2030,Milion barrels per day,0.039000000804662704
India,Projection-STEPS,"Oil displacement, million lge",Cars,EV,2030,"Oil displacement, million lge",2300
India,Projection-STEPS,Electricity demand,Cars,EV,2030,GWh,9200
Rest of the world,Projection-STEPS,Electricity demand,Cars,EV,2020,GWh,1800
Rest of the world,Projection-STEPS,Oil displacement Mbd,Cars,EV,2020,Milion barrels per day,0.010999999940395355
Rest of the world,Projection-STEPS,"Oil displacement, million lge",Cars,EV,2020,"Oil displacement, million lge",640
Rest of the world,Projection-STEPS,EV stock,Cars,PHEV,2020,Vehicles,320000
Rest of the world,Projection-STEPS,EV sales share,Cars,EV,2020,percent,0.7099999785423279
Rest of the world,Projection-STEPS,EV stock share,Cars,EV,2020,percent,0.1899999976158142
Rest of the world,Projection-STEPS,EV sales,Cars,BEV,2020,Vehicles,100000
Rest of the world,Projection-STEPS,EV stock,Cars,BEV,2020,Vehicles,430000
Rest of the world,Projection-STEPS,EV sales,Cars,PHEV,2020,Vehicles,56000
Rest of the world,Projection-STEPS,EV sales,Cars,PHEV,2021,Vehicles,110000
Rest of the world,Projection-STEPS,EV stock,Cars,BEV,2021,Vehicles,630000
Rest of the world,Projection-STEPS,EV sales,Cars,BEV,2021,Vehicles,200000
Rest of the world,Projection-STEPS,EV stock share,Cars,EV,2021,percent,0.27000001072883606
Rest of the world,Projection-STEPS,EV sales share,Cars,EV,2021,percent,1.2999999523162842
Rest of the world,Projection-STEPS,EV stock,Cars,PHEV,2021,Vehicles,430000
Rest of the world,Projection-STEPS,Oil displacement Mbd,Cars,EV,2021,Milion barrels per day,0.017999999225139618
Rest of the world,Projection-STEPS,Electricity demand,Cars,EV,2021,GWh,1900
Rest of the world,Projection-STEPS,"Oil displacement, million lge",Cars,EV,2021,"Oil displacement, million lge",1000
Rest of the world,Projection-STEPS,Oil displacement Mbd,Cars,EV,2022,Milion barrels per day,0.032999999821186066
Rest of the world,Projection-STEPS,"Oil displacement, million lge",Cars,EV,2022,"Oil displacement, million lge",1900
Rest of the world,Projection-STEPS,Electricity demand,Cars,EV,2022,GWh,4900
Rest of the world,Projection-STEPS,EV stock,Cars,PHEV,2022,Vehicles,540000
Rest of the world,Projection-STEPS,EV sales share,Cars,EV,2022,percent,2.200000047683716
Rest of the world,Projection-STEPS,EV stock share,Cars,EV,2022,percent,0.38999998569488525
Rest of the world,Projection-STEPS,EV sales,Cars,BEV,2022,Vehicles,380000
Rest of the world,Projection-STEPS,EV stock,Cars,BEV,2022,Vehicles,980000
Rest of the world,Projection-STEPS,EV sales,Cars,PHEV,2022,Vehicles,130000
Rest of the world,Projection-STEPS,EV stock share,Cars,EV,2025,percent,1
Rest of the world,Projection-STEPS,EV sales share,Cars,EV,2025,percent,5
Rest of the world,Projection-STEPS,EV sales,Cars,BEV,2025,Vehicles,1200000
Rest of the world,Projection-STEPS,EV sales,Cars,PHEV,2025,Vehicles,300000
Rest of the world,Projection-STEPS,EV stock,Cars,BEV,2025,Vehicles,3600000
Rest of the world,Projection-STEPS,EV stock,Cars,PHEV,2025,Vehicles,1300000
Rest of the world,Projection-STEPS,Oil displacement Mbd,Cars,EV,2025,Milion barrels per day,0.10000000149011612
Rest of the world,Projection-STEPS,"Oil displacement, million lge",Cars,EV,2025,"Oil displacement, million lge",5900
Rest of the world,Projection-STEPS,Electricity demand,Cars,EV,2025,GWh,17000
Rest of the world,Projection-STEPS,Electricity demand,Cars,EV,2030,GWh,68000
Rest of the world,Projection-STEPS,Oil displacement Mbd,Cars,EV,2030,Milion barrels per day,0.38999998569488525
Rest of the world,Projection-STEPS,"Oil displacement, million lge",Cars,EV,2030,"Oil displacement, million lge",23000
Rest of the world,Projection-STEPS,EV sales,Cars,BEV,2030,Vehicles,3200000
Rest of the world,Projection-STEPS,EV sales,Cars,PHEV,2030,Vehicles,760000
Rest of the world,Projection-STEPS,EV stock,Cars,BEV,2030,Vehicles,16000000
Rest of the world,Projection-STEPS,EV stock,Cars,PHEV,2030,Vehicles,4000000
Rest of the world,Projection-STEPS,EV sales share,Cars,EV,2030,percent,10
Rest of the world,Projection-STEPS,EV stock share,Cars,EV,2030,percent,4
USA,Projection-STEPS,EV sales share,Cars,EV,2020,percent,2.200000047683716
USA,Projection-STEPS,EV stock share,Cars,EV,2020,percent,0.7699999809265137
USA,Projection-STEPS,EV sales,Cars,BEV,2020,Vehicles,230000
USA,Projection-STEPS,EV stock,Cars,BEV,2020,Vehicles,1100000
USA,Projection-STEPS,EV sales,Cars,PHEV,2020,Vehicles,64000
USA,Projection-STEPS,Oil displacement Mbd,Cars,EV,2020,Milion barrels per day,0.0430000014603138
USA,Projection-STEPS,"Oil displacement, million lge",Cars,EV,2020,"Oil displacement, million lge",2500
USA,Projection-STEPS,Electricity demand,Cars,EV,2020,GWh,5400
USA,Projection-STEPS,EV stock,Cars,PHEV,2020,Vehicles,640000
USA,Projection-STEPS,EV stock,Cars,PHEV,2021,Vehicles,720000
USA,Projection-STEPS,Electricity demand,Cars,EV,2021,GWh,6500
USA,Projection-STEPS,Oil displacement Mbd,Cars,EV,2021,Milion barrels per day,0.0689999982714653
USA,Projection-STEPS,"Oil displacement, million lge",Cars,EV,2021,"Oil displacement, million lge",4000
USA,Projection-STEPS,EV sales,Cars,PHEV,2021,Vehicles,160000
USA,Projection-STEPS,EV stock,Cars,BEV,2021,Vehicles,1500000
USA,Projection-STEPS,EV sales,Cars,BEV,2021,Vehicles,470000
USA,Projection-STEPS,EV stock share,Cars,EV,2021,percent,0.949999988079071
USA,Projection-STEPS,EV sales share,Cars,EV,2021,percent,4.5
USA,Projection-STEPS,EV sales share,Cars,EV,2022,percent,7.699999809265137
USA,Projection-STEPS,EV stock share,Cars,EV,2022,percent,1.2999999523162842
USA,Projection-STEPS,EV sales,Cars,BEV,2022,Vehicles,800000
USA,Projection-STEPS,EV stock,Cars,BEV,2022,Vehicles,2100000
USA,Projection-STEPS,EV sales,Cars,PHEV,2022,Vehicles,190000
USA,Projection-STEPS,Oil displacement Mbd,Cars,EV,2022,Milion barrels per day,0.10999999940395355
USA,Projection-STEPS,"Oil displacement, million lge",Cars,EV,2022,"Oil displacement, million lge",6400
USA,Projection-STEPS,Electricity demand,Cars,EV,2022,GWh,15000
USA,Projection-STEPS,EV stock,Cars,PHEV,2022,Vehicles,860000
USA,Projection-STEPS,Electricity demand,Cars,EV,2025,GWh,54000
USA,Projection-STEPS,Oil displacement Mbd,Cars,EV,2025,Milion barrels per day,0.3700000047683716
USA,Projection-STEPS,"Oil displacement, million lge",Cars,EV,2025,"Oil displacement, million lge",21000
USA,Projection-STEPS,EV sales,Cars,BEV,2025,Vehicles,2900000
USA,Projection-STEPS,EV sales,Cars,PHEV,2025,Vehicles,440000
USA,Projection-STEPS,EV stock,Cars,BEV,2025,Vehicles,8600000
USA,Projection-STEPS,EV stock,Cars,PHEV,2025,Vehicles,2000000
USA,Projection-STEPS,EV stock share,Cars,EV,2025,percent,5
USA,Projection-STEPS,EV sales share,Cars,EV,2025,percent,22
USA,Projection-STEPS,EV sales share,Cars,EV,2030,percent,50
USA,Projection-STEPS,EV stock share,Cars,EV,2030,percent,16
USA,Projection-STEPS,EV sales,Cars,BEV,2030,Vehicles,6800000
USA,Projection-STEPS,EV sales,Cars,PHEV,2030,Vehicles,960000
USA,Projection-STEPS,EV stock,Cars,BEV,2030,Vehicles,34000000
USA,Projection-STEPS,EV stock,Cars,PHEV,2030,Vehicles,5600000
USA,Projection-STEPS,Oil displacement Mbd,Cars,EV,2030,Milion barrels per day,1.2000000476837158
USA,Projection-STEPS,"Oil displacement, million lge",Cars,EV,2030,"Oil displacement, million lge",66000
USA,Projection-STEPS,Electricity demand,Cars,EV,2030,GWh,180000
World,Projection-STEPS,Oil displacement Mbd,Cars,EV,2020,Milion barrels per day,0.12999999523162842
World,Projection-STEPS,"Oil displacement, million lge",Cars,EV,2020,"Oil displacement, million lge",7700
World,Projection-STEPS,EV sales share,Cars,EV,2020,percent,4.199999809265137
World,Projection-STEPS,Electricity demand,Cars,EV,2020,GWh,24000
World,Projection-STEPS,EV sales,Cars,PHEV,2020,Vehicles,970000
World,Projection-STEPS,EV stock,Cars,PHEV,2020,Vehicles,3400000
World,Projection-STEPS,EV stock share,Cars,EV,2020,percent,0.8299999833106995
World,Projection-STEPS,EV sales,Cars,BEV,2020,Vehicles,2000000
World,Projection-STEPS,EV stock,Cars,BEV,2020,Vehicles,6800000
World,Projection-STEPS,EV stock,Cars,BEV,2021,Vehicles,11000000
World,Projection-STEPS,EV sales,Cars,BEV,2021,Vehicles,4600000
World,Projection-STEPS,EV stock share,Cars,EV,2021,percent,1.2999999523162842
World,Projection-STEPS,EV stock,Cars,PHEV,2021,Vehicles,5200000
World,Projection-STEPS,EV sales,Cars,PHEV,2021,Vehicles,1900000
World,Projection-STEPS,Electricity demand,Cars,EV,2021,GWh,34000
World,Projection-STEPS,EV sales share,Cars,EV,2021,percent,8.699999809265137
World,Projection-STEPS,Oil displacement Mbd,Cars,EV,2021,Milion barrels per day,0.25
World,Projection-STEPS,"Oil displacement, million lge",Cars,EV,2021,"Oil displacement, million lge",15000
World,Projection-STEPS,Oil displacement Mbd,Cars,EV,2022,Milion barrels per day,0.4300000071525574
World,Projection-STEPS,"Oil displacement, million lge",Cars,EV,2022,"Oil displacement, million lge",25000
World,Projection-STEPS,EV sales share,Cars,EV,2022,percent,14
World,Projection-STEPS,Electricity demand,Cars,EV,2022,GWh,65000
World,Projection-STEPS,EV sales,Cars,PHEV,2022,Vehicles,2900000
World,Projection-STEPS,EV stock,Cars,PHEV,2022,Vehicles,7900000
World,Projection-STEPS,EV stock share,Cars,EV,2022,percent,2.0999999046325684
World,Projection-STEPS,EV sales,Cars,BEV,2022,Vehicles,7300000
World,Projection-STEPS,EV stock,Cars,BEV,2022,Vehicles,18000000
World,Projection-STEPS,EV stock share,Cars,EV,2025,percent,6
World,Projection-STEPS,Electricity demand,Cars,EV,2025,GWh,200000
World,Projection-STEPS,EV sales share,Cars,EV,2025,percent,23
World,Projection-STEPS,Oil displacement Mbd,Cars,EV,2025,Milion barrels per day,1.2000000476837158
World,Projection-STEPS,"Oil displacement, million lge",Cars,EV,2025,"Oil displacement, million lge",73000
World,Projection-STEPS,EV sales,Cars,BEV,2025,Vehicles,16000000
World,Projection-STEPS,EV sales,Cars,PHEV,2025,Vehicles,4500000
World,Projection-STEPS,EV stock,Cars,BEV,2025,Vehicles,56000000
World,Projection-STEPS,EV stock,Cars,PHEV,2025,Vehicles,20000000
World,Projection-STEPS,EV sales,Cars,BEV,2030,Vehicles,31000000
World,Projection-STEPS,EV sales,Cars,PHEV,2030,Vehicles,5900000
World,Projection-STEPS,EV stock,Cars,BEV,2030,Vehicles,180000000
World,Projection-STEPS,EV stock,Cars,PHEV,2030,Vehicles,46000000
World,Projection-STEPS,EV sales share,Cars,EV,2030,percent,36
World,Projection-STEPS,Electricity demand,Cars,EV,2030,GWh,570000
World,Projection-STEPS,EV stock share,Cars,EV,2030,percent,15
World,Projection-STEPS,Oil displacement Mbd,Cars,EV,2030,Milion barrels per day,3.4000000953674316
World,Projection-STEPS,"Oil displacement, million lge",Cars,EV,2030,"Oil displacement, million lge",200000
